Student_ID,Department,CGPA,Tenth_Percentage,Twelfth_Percentage,Aptitude_Score,Coding_Score,Communication_Score,Internship,Certifications,Projects_Count,Attendance_Percentage,Backlogs,Placement_Status
S1035,CSE,6.29,59.2,58.9,100,74,87,Yes,1,0,87.3,2,Not Placed
S1036,AI&DS,7.1,81.4,68.7,85,34,43,Yes,2,3,89.7,1,Not Placed
S1037,ECE,6.61,97.6,95.9,72,29,86,Yes,5,5,66.1,0,Placed
S1038,AI&DS,9.53,61.0,95.9,98,47,91,No,4,0,97.8,0,Placed
S1039,AI&DS,9.07,77.3,79.7,72,34,60,Yes,4,1,66.8,1,Not Placed
S1040,IT,8.41,92.7,82.2,84,68,75,No,5,5,83.9,0,Placed
S1041,IT,9.31,86.9,74.3,64,26,69,No,6,0,89.8,2,Not Placed
S1042,IT,9.05,85.0,67.6,85,37,97,No,6,5,95.5,0,Not Placed
S1043,CSE,6.71,85.2,69.1,97,64,59,No,0,1,90.0,2,Not Placed
S1044,ECE,9.39,70.5,83.9,86,26,72,No,0,2,93.1,3,Not Placed
S1045,ECE,8.05,67.6,87.4,72,89,36,Yes,2,1,76.9,2,Not Placed
S1046,ECE,9.07,89.8,89.0,64,87,41,Yes,3,1,93.5,3,Not Placed
S1047,ECE,9.41,89.8,89.0,85,97,68,Yes,1,5,67.8,0,Placed
S1048,IT,7.21,92.3,58.9,39,41,51,No,0,4,96.3,0,Not Placed
S1049,CSE,6.42,94.3,76.3,63,33,77,Yes,4,3,84.2,0,Not Placed
S1050,CSE,6.87,77.0,57.5,38,99,93,No,2,3,93.6,0,Placed
S1051,IT,7.62,76.6,78.6,44,39,85,No,1,2,80.8,0,Not Placed
S1052,CSE,9.11,89.3,74.0,90,48,88,Yes,2,2,87.5,3,Placed
S1053,IT,9.27,82.9,93.2,51,62,58,No,1,3,83.4,0,Not Placed
S1054,ECE,6.03,85.2,70.1,51,59,59,Yes,1,4,90.6,0,Not Placed
S1055,IT,7.94,89.2,60.0,68,73,86,Yes,5,3,67.9,0,Placed
S1056,ECE,7.59,93.3,61.1,40,93,67,No,0,4,67.1,0,Placed
S1057,ECE,6.84,69.5,87.7,87,86,83,No,2,2,73.6,0,Not Placed
S1058,AI&DS,6.46,71.2,81.6,100,84,63,No,2,0,70.6,1,Not Placed
S1059,IT,7.28,59.0,59.3,77,74,97,Yes,5,5,95.5,0,Placed
S1060,AI&DS,9.58,79.9,58.6,57,99,56,Yes,4,2,72.7,0,Placed
S1061,IT,7.23,56.5,85.1,89,33,60,No,4,2,99.2,3,Not Placed
S1062,IT,7.97,75.0,58.1,50,58,62,No,6,1,76.8,1,Not Placed
S1063,AI&DS,8.67,78.3,90.3,42,100,83,No,0,1,71.4,0,Placed
S1064,AI&DS,7.38,67.3,85.4,38,59,83,Yes,0,1,92.6,0,Placed
S1065,IT,9.69,80.4,58.5,38,25,54,No,3,5,88.1,0,Placed
S1066,CSE,9.66,56.3,58.6,90,64,97,Yes,5,1,82.4,3,Not Placed
S1067,ECE,6.96,56.6,97.4,59,88,95,Yes,4,4,84.4,2,Not Placed
S1068,AI&DS,7.89,90.4,71.1,61,46,83,No,1,3,90.2,2,Not Placed
S1069,ECE,7.14,70.5,70.9,66,84,35,Yes,2,0,73.0,0,Placed
S1070,CSE,7.08,60.5,90.0,84,88,47,No,0,2,99.9,0,Not Placed
S1071,CSE,6.14,77.5,95.7,95,96,85,Yes,2,4,99.1,3,Not Placed
S1072,CSE,8.32,88.1,97.4,85,35,90,Yes,2,0,87.8,1,Not Placed
S1073,AI&DS,7.91,64.3,87.4,53,38,96,No,3,4,72.0,0,Not Placed
S1074,CSE,6.2,81.8,71.2,55,84,66,No,4,4,88.8,0,Placed
S1075,AI&DS,7.06,58.7,58.6,39,54,64,No,0,2,67.5,3,Not Placed
S1076,CSE,9.45,57.2,88.4,76,59,63,No,2,3,66.1,0,Placed
S1077,ECE,6.91,77.8,79.0,95,61,83,No,0,1,74.0,0,Not Placed
S1078,ECE,6.55,78.2,73.2,56,29,79,No,1,5,81.2,0,Not Placed
S1079,IT,7.86,82.4,94.0,55,50,64,No,3,3,95.4,0,Not Placed
S1080,ECE,9.75,86.2,59.8,35,86,50,Yes,1,5,90.5,2,Not Placed
S1081,IT,6.92,97.0,76.2,39,28,74,No,0,2,91.0,0,Not Placed
S1082,ECE,8.55,77.2,55.5,46,66,53,Yes,6,2,79.9,2,Placed
S1083,AI&DS,8.89,68.9,75.2,80,42,52,No,0,2,77.1,2,Not Placed
S1084,ECE,6.9,89.2,57.4,68,64,35,No,4,0,78.0,0,Not Placed
S1085,IT,8.77,66.6,60.1,83,96,81,Yes,2,5,99.6,0,Placed
S1086,IT,7.4,73.9,60.1,79,63,100,No,2,3,66.4,1,Placed
S1087,CSE,8.4,58.4,82.9,61,38,72,No,1,3,95.3,0,Placed
S1088,AI&DS,8.41,56.1,87.1,60,56,85,Yes,3,4,85.3,2,Not Placed
S1089,ECE,8.04,96.4,80.1,81,75,97,No,6,4,80.4,3,Placed
S1090,CSE,6.34,90.9,96.4,90,62,38,No,5,4,90.4,3,Not Placed
S1091,ECE,9.17,84.9,71.1,97,47,35,Yes,2,2,82.0,1,Placed
S1092,ECE,7.22,72.6,67.3,82,87,42,No,4,3,95.6,3,Not Placed
S1093,CSE,6.71,62.5,92.3,95,39,63,Yes,1,5,96.5,0,Placed
S1094,CSE,6.15,61.7,64.6,60,49,89,No,1,2,79.8,3,Not Placed
S1095,CSE,8.25,65.8,96.4,70,41,37,No,5,0,74.7,0,Placed
S1096,CSE,8.57,78.6,55.5,35,90,66,No,4,4,85.7,0,Not Placed
S1097,CSE,6.06,85.7,96.7,42,77,44,No,3,2,96.9,2,Not Placed
S1098,ECE,7.95,83.4,56.9,86,75,68,No,4,2,72.4,0,Placed
S1099,CSE,6.86,67.0,93.3,81,63,89,No,3,0,86.8,0,Not Placed
S1100,AI&DS,8.45,96.1,77.7,90,75,66,Yes,4,1,87.1,2,Not Placed
S1101,IT,6.66,86.7,97.7,48,94,84,No,4,3,90.7,0,Not Placed
S1102,CSE,8.63,78.8,58.2,62,30,41,Yes,0,5,69.6,0,Placed
S1103,CSE,7.47,81.3,78.8,36,91,42,No,1,1,90.1,3,Not Placed
S1104,ECE,9.56,73.0,96.7,60,31,99,Yes,4,4,96.8,3,Not Placed
S1105,CSE,6.52,65.7,77.5,48,75,91,Yes,5,2,71.3,0,Not Placed
S1106,CSE,7.3,70.3,82.1,93,96,93,Yes,4,0,73.3,2,Not Placed
S1107,CSE,6.43,87.6,84.9,90,66,88,No,2,0,99.0,0,Not Placed
S1108,ECE,9.51,55.6,74.5,41,88,85,Yes,1,3,71.3,1,Not Placed
S1109,CSE,9.33,60.0,82.0,37,39,42,No,2,1,94.9,0,Not Placed
S1110,IT,6.98,57.0,80.1,57,53,68,Yes,1,3,82.2,2,Placed
S1111,ECE,8.51,56.8,93.7,52,57,69,Yes,2,2,73.7,0,Placed
S1112,IT,9.11,91.8,57.0,72,51,66,No,4,3,95.5,1,Not Placed
S1113,ECE,8.11,85.3,67.1,49,60,80,No,4,5,80.6,2,Not Placed
S1114,CSE,8.01,75.4,95.9,98,53,50,Yes,0,0,83.0,0,Not Placed
S1115,IT,6.92,59.2,93.3,62,62,71,No,5,0,77.6,0,Placed
S1116,ECE,6.35,76.1,74.6,73,81,88,No,2,4,85.8,0,Not Placed
S1117,AI&DS,9.41,75.4,81.7,91,51,48,No,3,4,70.7,0,Placed
S1118,CSE,9.42,62.4,66.9,51,79,89,Yes,0,2,78.7,0,Placed
S1119,ECE,8.41,73.7,63.1,78,57,82,Yes,2,5,98.9,1,Not Placed
S1120,AI&DS,7.29,72.1,74.9,59,92,41,No,2,1,74.0,3,Not Placed
S1121,ECE,7.33,81.5,70.2,51,90,41,Yes,0,3,88.0,0,Not Placed
S1122,AI&DS,8.76,82.3,80.1,47,34,67,No,4,2,76.4,0,Not Placed
S1123,CSE,9.41,56.9,58.3,59,29,57,No,2,4,92.1,0,Not Placed
S1124,IT,9.37,71.1,96.9,44,98,53,No,4,3,69.6,3,Not Placed
S1125,AI&DS,8.96,81.9,97.4,52,62,53,No,0,4,98.9,3,Not Placed
S1126,ECE,8.44,76.6,85.0,68,37,70,No,4,3,80.9,0,Placed
S1127,CSE,6.32,91.8,78.1,42,55,63,Yes,1,1,73.3,0,Not Placed
S1128,AI&DS,6.61,83.3,68.3,74,71,94,No,3,2,67.6,3,Not Placed
S1129,ECE,9.41,62.0,90.0,76,76,36,Yes,6,3,70.9,0,Placed
S1130,ECE,8.3,58.0,84.4,75,80,35,No,2,5,83.2,0,Not Placed
S1131,ECE,6.03,82.6,62.0,40,39,81,No,5,0,76.8,2,Not Placed
S1132,AI&DS,6.39,56.1,94.2,86,53,54,No,3,5,94.0,0,Not Placed
S1133,AI&DS,8.52,80.2,90.4,60,32,45,No,6,5,80.1,0,Placed
S1134,AI&DS,6.02,95.4,95.8,98,29,36,No,4,0,73.7,3,Not Placed
S1135,IT,6.61,79.7,86.2,93,53,46,Yes,2,5,86.6,1,Placed
S1136,AI&DS,8.09,71.7,81.4,90,71,54,Yes,4,3,89.7,2,Not Placed
S1137,AI&DS,8.63,82.7,73.0,93,92,39,No,1,3,70.8,2,Not Placed
S1138,AI&DS,8.48,74.7,95.1,67,100,71,Yes,0,3,70.9,0,Placed
S1139,IT,6.85,78.5,92.2,87,69,72,Yes,2,0,66.3,0,Placed
S1140,AI&DS,8.71,95.5,56.9,56,26,43,Yes,6,5,90.8,1,Placed
S1141,ECE,6.9,71.6,56.1,55,51,87,Yes,6,0,88.2,2,Not Placed
S1142,AI&DS,7.24,96.3,71.2,38,60,78,Yes,1,3,81.6,0,Placed
S1143,ECE,8.84,93.9,89.9,96,60,58,Yes,1,5,94.5,2,Placed
S1144,ECE,8.47,63.4,97.5,96,50,64,Yes,2,5,93.2,1,Not Placed
S1145,ECE,9.23,58.0,61.5,58,67,93,Yes,4,4,85.5,1,Placed
S1146,IT,8.5,59.3,80.5,89,51,48,No,5,4,95.4,0,Placed
S1147,IT,8.16,55.8,71.4,43,93,43,Yes,6,1,72.2,3,Not Placed
S1148,IT,6.36,59.1,96.7,37,44,74,Yes,6,2,68.9,3,Not Placed
S1149,AI&DS,7.4,84.4,91.2,65,35,100,No,1,4,74.4,0,Not Placed
S1150,ECE,7.01,58.1,91.0,74,98,59,Yes,3,0,67.0,1,Not Placed
